S.No.,State,City,Category,Alcohol,Hotel Name,Address,Total Rooms,Ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bihar,Bodhgaya,3 Star,Without Alcohol,Oaks Bodhgaya  A unit of Bodhi Hotel and Resorts Pvt  Ltd  ,Khata No  141  Plot No  80 and Khata No  778  Plot No  97  P S    Bodhgaya  Thana No  359  District   Gaya  Bihar Bodhgaya,78,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Chhattisgarh,Bilaspur,3 Star,Without Alcohol,COURTYARD BY MARRIOTT BILASPUR ,COURTYARD BY MARRIOTT BILASPUR City Mall 36  Mangla Chowk  Bilaspur     495001,100,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Chhattisgarh,Bilaspur,3 Star,Without Alcohol,Hotel Intercity International,Jagmal Chowk,39,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Chhattisgarh,Bilaspur,3 Star,Without Alcohol,THE EMERALD,NEAR OLD BUS STAND TELEPHONE EXCHANGE ROAD ,22,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Chhattisgarh,Durg Bhilai Nagar,3 Star,Without Alcohol,Hotel Ashish International,G E Road  Power House,17,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Chhattisgarh,Durg Bhilai Nagar,3 Star,Without Alcohol,Hotel Grand Dhillon,A 1 Nehru Parisar   Nehru Nagar Square GE Road Bhilai ,39,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Chhattisgarh,Korba,3 Star,Without Alcohol,hotel relax inn,korba champa road urga,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Chhattisgarh,Raigarh,3 Star,Without Alcohol,Hotel Accordd Premier  ACCORDD Chain of Hotels ,Hotel Accordd Premier Jagatpur Dhimrapur Road Raigarh Raigarh,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Chhattisgarh,Raigarh,3 Star,Without Alcohol,Hotel Ans International,Jagatpur   Dhimrapur Road  Raigarh  Chattisgarh Raigarh Raigarh,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Chhattisgarh,Raipur ,3 Star,Without Alcohol,GREENWOOD FOURSEASONS ,GREENWOOD FOURSEASONS  VIP ROAD  PURENA  ,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Chhattisgarh,Raipur ,3 Star,Without Alcohol,HOTEL GAGAN REGENCY,OPP  GATE NO  1  AIIMS  G  E  ROAD  TATIBANDH  RAIPUR  C G   PIN 492001 ,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Chhattisgarh,Raipur ,3 Star,Without Alcohol,HOTEL IVY,PRIYADARSHINI NAGAR  NEAR PACHPEDI NAKA,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Chhattisgarh,Raipur ,3 Star,Without Alcohol,HOTEL KINGSWAY,RING ROAD NO  1 NEAR AIRTEL OFFICE TELIBANDHA RAIPUR ,30,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Chhattisgarh,Raipur ,3 Star,Without Alcohol,HOTEL SOLITAIRE   A UNIT OF R R S K ENTERPRISES ,BEHIND STATE BANK OF INDIA MAIN BRANCH ANAND TAKIES ROAD NEAR JAISTAMBH CHOWK RAIPUR  C G  ,48,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Chhattisgarh,Raipur ,3 Star,Without Alcohol,HOTEL THE GOLDEN OAK,J B  MALL NEAR GURUNANAK CHOWK M  G  ROAD  RAIPUR,28,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Chhattisgarh,Raipur ,3 Star,Without Alcohol,RMV RESORT AND HOTELS PVT LTD,HOTEL VW CANYON  NEAR   AGRASEN DHAM  VIP ROAD   II  PHUNDAHAR  RAIPUR   492006  CHHATTISHGARH,111,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Chhattisgarh,Rajnandgaon,3 Star,Without Alcohol,Hotel Awana,Near New Gurudwara  GE Road  Rajnandgoan Rajnandgaon,15,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Delhi,New Delhi,3 Star,Without Alcohol,HOTEL THE MANOR,77 FREINDS COLONY  W  NEW DELHI  110065,12,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Goa,Margao,3 Star,Without Alcohol,Hotel Nanutel Margao,Padre Miranda Road,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Goa,vasco da gama,3 Star,Without Alcohol,Hotel La Paz Gardens  A unit of Hotel La Paz Gardens Pvt  Ltd  ,Swatantra Path  Vasco da Gama vasco da gama vasco da gama,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Gujarat,Ahmedabad,3 Star,Without Alcohol,Aarya Grand Hotels Resorts,Kargil Petrol Pump Lane  Near Gujarat High Court  Sarkhej   Gandhinagar Highway,105,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Gujarat,Ahmedabad,3 Star,Without Alcohol,AJU IMPERIAL HOTEL  A UNIT OF AJU RYOKAN NCR PVT LTD  ,Survey No  414  Village Jalisana  Jalisana to Nayakpur Road Taluka  Mandal  Distt  Ahmedabad  Gujarat 382120,107,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Gujarat,Ahmedabad,3 Star,Without Alcohol,AVALON HOTEL AND BANQUETS,OPP MANGO GARDEN BUNGLOWS  NEAR SINDHU BHAVAN ROAD OFF S G  HIGHWAY BODAKDEV,46,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Gujarat,Ahmedabad,3 Star,Without Alcohol,Belvedere Club  A unit of BELVEDERE GOLF AND COUNTRY CLUB PVT LTD,ADANI SHANTIGRAM  S G HIGHWAY  NEAR VAISHNODEVI CIRCLE Ahmedabad,55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Gujarat,Ahmedabad,3 Star,Without Alcohol,Bloom Suites  A unit of Ms Rising Hotel Limited ,Surdhara Circle  Off Drive In Road  Thaltej  Ahmedabad Ahmedabad,68,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Gujarat,Ahmedabad,3 Star,Without Alcohol,Comfort Inn President  A unit of Sun N Silver Inn Pvt  Ltd ,OPP MUNICIPAL MARKET  OFF C G ROAD  NAVRANGPURA  AHMEDABAD Ahmedabad,57,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
